"state","dem_votes","rep_votes","win"
"Arizona",1672143,1661686,"Biden"
"Florida",5297045,5668731,"Trump"
"Georgia",2473633,2461854,"Biden"
"Iowa",759061,897672,"Trump"
"Michigan",2804040,2649852,"Biden"
"Minnesota",1717077,1484065,"Biden"
"Nevada",703486,669890,"Biden"
"New Hampshire",424921,365654,"Biden"
"North Carolina",2684292,2758775,"Trump"
"Ohio",2679165,3154834,"Trump"
"Pennsylvania",3458229,3377674,"Biden"
"Texas",5259126,5890347,"Trump"
"Wisconsin",1630866,1610184,"Biden"
"Alabama",849624,1441170,"Trump"
"Alaska",153778,189951,"Trump"
"Arkansas",423932,760647,"Trump"
"California",11110250,6006429,"Biden"
"Colorado",1804352,1364607,"Biden"
"Connecticut",1080831,714717,"Biden"
"Delaware",296268,200603,"Biden"
"Hawaii",366130,196864,"Biden"
"Idaho",287021,554119,"Trump"
"Illinois",3471915,2446891,"Biden"
"Indiana",1242413,1729516,"Trump"
"Kansas",570323,771406,"Trump"
"Kentucky",772474,1326646,"Trump"
"Louisiana",856034,1255776,"Trump"
"Maine",435072,360737,"Biden"
"Maryland",1985023,976414,"Biden"
"Massachusetts",2382202,1167202,"Biden"
"Mississippi",539508,756789,"Trump"
"Missouri",1253014,1718736,"Trump"
"Montana",244786,343602,"Trump"
"Nebraska",374583,556846,"Trump"
"New Jersey",2608335,1883274,"Biden"
"New Mexico",501614,401894,"Biden"
"New York",5244886,3251997,"Biden"
"North Dakota",114902,235595,"Trump"
"Oklahoma",503890,1020280,"Trump"
"Oregon",1340383,958448,"Biden"
"Rhode Island",307486,199922,"Biden"
"South Carolina",1091541,1385103,"Trump"
"South Dakota",150471,261043,"Trump"
"Tennessee",1143711,1852475,"Trump"
"Utah",560282,865140,"Trump"
"Vermont",242820,112704,"Biden"
"Virginia",2413568,1962430,"Biden"
"Washington",2369612,1584651,"Biden"
"West Virginia",235984,545382,"Trump"
"Wyoming",73491,193559,"Trump"
"District of Columbia",317323,18586,"Biden"
