"state","total_billions"
"Alabama",3
"Alaska",3.7
"American Samoa",0.0686
"Arizona",3.5
"Arkansas",2.8
"California",18.4
"Colorado",3.2
"Connecticut",2.5
"Delaware",0.792
"District of Columbia",1.1
"Florida",8.2
"Georgia",5
"Guam",0.1426
"Hawaii",1
"Idaho",1.2
"Illinois",8.4
"Indiana",3.4
"Iowa",2.4
"Kansas",1.5
"Kentucky",3.9
"Louisiana",4.3
"Maine",1.1
"Maryland",2.7
"Massachusetts",3.6
"Michigan",5.2
"Minnesota",2.7
"Mississippi",2.3
"Missouri",3.8
"Montana",3.3
"Nebraska",1.3
"Nevada",1.7
"New Hampshire",0.7518
"New Jersey",5.1
"New Mexico",2.6
"New York",10.1
"North Carolina",4.5
"North Dakota",1.8
"Northern Mariana Islands",0.0833
"Ohio",6.6
"Oklahoma",2.9
"Oregon",2.3
"Pennsylvania",8.1
"Puerto Rico",0.9937
"Rhode Island",1.1
"South Carolina",2.3
"South Dakota",1.3
"Tennessee",3.7
"Texas",14.2
"Tribal Communities",3
"US Virgin Islands",0.1483
"Utah",1.8
"Vermont",0.8521
"Virginia",4.5
"Washington",4
"West Virginia",2
"Wisconsin",2.8
"Wyoming",2.3
