"state","total_billions","total_population","funding_per_capita","abbriv","dem_votes","rep_votes","win","above_avg_funding"
"Alabama",3,5024294,597.0988162715,"AL",849624,1441170,"Trump",FALSE
"Alaska",3.7,733374,5045.17476758107,"AK",153778,189951,"Trump",TRUE
"Arizona",3.5,7157902,488.970092074465,"AZ",1672143,1661686,"Biden",FALSE
"Arkansas",2.8,3011490,929.772305403637,"AR",423932,760647,"Trump",TRUE
"California",18.4,39538212,465.372586904031,"CA",11110250,6006429,"Biden",FALSE
"Colorado",3.2,5773707,554.236645538127,"CO",1804352,1364607,"Biden",FALSE
"Connecticut",2.5,3605912,693.305882118033,"CT",1080831,714717,"Biden",FALSE
"Delaware",0.792,989946,800.043638743932,"DE",296268,200603,"Biden",FALSE
"District of Columbia",1.1,689548,1595.2479015239,"DC",317323,18586,"Biden",TRUE
"Florida",8.2,21538216,380.718625906621,"FL",5297045,5668731,"Trump",FALSE
"Georgia",5,10713771,466.689086410378,"GA",2473633,2461854,"Biden",FALSE
"Hawaii",1,1455274,687.155820828243,"HI",366130,196864,"Biden",FALSE
"Idaho",1.2,1839117,652.487035898205,"ID",287021,554119,"Trump",FALSE
"Illinois",8.4,12813469,655.560176561086,"IL",3471915,2446891,"Biden",FALSE
"Indiana",3.4,6785442,501.072737781857,"IN",1242413,1729516,"Trump",FALSE
"Iowa",2.4,3190427,752.250404099514,"IA",759061,897672,"Trump",FALSE
"Kansas",1.5,2937835,510.580070017547,"KS",570323,771406,"Trump",FALSE
"Kentucky",3.9,4506297,865.455605788966,"KY",772474,1326646,"Trump",FALSE
"Louisiana",4.3,4657785,923.185591434555,"LA",856034,1255776,"Trump",TRUE
"Maine",1.1,1363177,806.938497348473,"ME",435072,360737,"Biden",FALSE
"Maryland",2.7,6177253,437.087488564901,"MD",1985023,976414,"Biden",FALSE
"Massachusetts",3.6,7032933,511.877477007104,"MA",2382202,1167202,"Biden",FALSE
"Michigan",5.2,10077674,515.992083093777,"MI",2804040,2649852,"Biden",FALSE
"Minnesota",2.7,5706804,473.119455302828,"MN",1717077,1484065,"Biden",FALSE
"Mississippi",2.3,2961306,776.684341300764,"MS",539508,756789,"Trump",FALSE
"Missouri",3.8,6154889,617.395374636326,"MO",1253014,1718736,"Trump",FALSE
"Montana",3.3,1084244,3043.59535307551,"MT",244786,343602,"Trump",TRUE
"Nebraska",1.3,1961965,662.601014798939,"NE",374583,556846,"Trump",FALSE
"Nevada",1.7,3104617,547.571568409243,"NV",703486,669890,"Biden",FALSE
"New Hampshire",0.7518,1377524,545.761816128067,"NH",424921,365654,"Biden",FALSE
"New Jersey",5.1,9289039,549.034189650835,"NJ",2608335,1883274,"Biden",FALSE
"New Mexico",2.6,2117525,1227.8485496039,"NM",501614,401894,"Biden",TRUE
"New York",10.1,20202320,499.9425808521,"NY",5244886,3251997,"Biden",FALSE
"North Carolina",4.5,10439459,431.056820090007,"NC",2684292,2758775,"Trump",FALSE
"North Dakota",1.8,779079,2310.42038098832,"ND",114902,235595,"Trump",TRUE
"Ohio",6.6,11799331,559.353746411555,"OH",2679165,3154834,"Trump",FALSE
"Oklahoma",2.9,3959411,732.43217236099,"OK",503890,1020280,"Trump",FALSE
"Oregon",2.3,4237279,542.801170279323,"OR",1340383,958448,"Biden",FALSE
"Pennsylvania",8.1,13002788,622.943325692921,"PA",3458229,3377674,"Biden",FALSE
"Rhode Island",1.1,1097371,1002.39572578463,"RI",307486,199922,"Biden",TRUE
"South Carolina",2.3,5118422,449.357243306629,"SC",1091541,1385103,"Trump",FALSE
"South Dakota",1.3,886668,1466.16320877713,"SD",150471,261043,"Trump",TRUE
"Tennessee",3.7,6910786,535.394960862628,"TN",1143711,1852475,"Trump",FALSE
"Texas",14.2,29145459,487.211404013229,"TX",5259126,5890347,"Trump",FALSE
"Utah",1.8,3271614,550.187155330672,"UT",560282,865140,"Trump",FALSE
"Vermont",0.8521,643077,1325.03572667037,"VT",242820,112704,"Biden",TRUE
"Virginia",4.5,8631373,521.353902791595,"VA",2413568,1962430,"Biden",FALSE
"Washington",4,7705267,519.125424206585,"WA",2369612,1584651,"Biden",FALSE
"West Virginia",2,1793713,1115.0055778154,"WV",235984,545382,"Trump",TRUE
"Wisconsin",2.8,5893713,475.082515894479,"WI",1630866,1610184,"Biden",FALSE
"Wyoming",2.3,576850,3987.1717084164,"WY",73491,193559,"Trump",TRUE
