"Rank","State","Avg. Salary","Hourly Rate","Job Count","Job_role"
1,"Virginia","$153,961","$74.02","750","AI Specialist"
2,"Rhode Island","$150,354","$72.29","55","AI Specialist"
3,"Texas","$156,562","$75.27","672","AI Specialist"
4,"New Jersey","$157,937","$75.93","264","AI Specialist"
5,"Wyoming","$136,608","$65.68","43","AI Specialist"
6,"Maryland","$151,035","$72.61","396","AI Specialist"
7,"District of Columbia","$153,229","$73.67","183","AI Specialist"
8,"Oregon","$140,182","$67.40","198","AI Specialist"
9,"Washington","$142,029","$68.28","304","AI Specialist"
10,"Alabama","$139,228","$66.94","139","AI Specialist"
11,"North Carolina","$140,089","$67.35","311","AI Specialist"
12,"Illinois","$142,515","$68.52","344","AI Specialist"
13,"Connecticut","$140,733","$67.66","136","AI Specialist"
14,"Maine","$133,677","$64.27","60","AI Specialist"
15,"Vermont","$133,382","$64.13","65","AI Specialist"
16,"Delaware","$136,625","$65.69","62","AI Specialist"
17,"California","$149,957","$72.09","1,022","AI Specialist"
18,"Minnesota","$138,048","$66.37","204","AI Specialist"
19,"New York","$142,183","$68.36","457","AI Specialist"
20,"West Virginia","$130,973","$62.97","59","AI Specialist"
21,"Nevada","$132,858","$63.87","90","AI Specialist"
22,"Colorado","$135,934","$65.35","251","AI Specialist"
23,"Kentucky","$133,349","$64.11","112","AI Specialist"
24,"Pennsylvania","$133,734","$64.30","341","AI Specialist"
25,"Georgia","$136,404","$65.58","270","AI Specialist"
26,"Tennessee","$132,780","$63.84","153","AI Specialist"
27,"South Carolina","$136,114","$65.44","96","AI Specialist"
28,"New Hampshire","$131,184","$63.07","71","AI Specialist"
29,"South Dakota","$122,287","$58.79","56","AI Specialist"
30,"Kansas","$130,940","$62.95","82","AI Specialist"
31,"Missouri","$129,659","$62.34","167","AI Specialist"
32,"Montana","$122,141","$58.72","65","AI Specialist"
33,"Iowa","$123,384","$59.32","105","AI Specialist"
34,"Louisiana","$128,037","$61.56","83","AI Specialist"
35,"Michigan","$125,083","$60.14","170","AI Specialist"
36,"Nebraska","$118,362","$56.90","112","AI Specialist"
37,"New Mexico","$120,689","$58.02","88","AI Specialist"
38,"Florida","$128,377","$61.72","414","AI Specialist"
39,"Wisconsin","$121,654","$58.49","181","AI Specialist"
40,"Massachusetts","$125,100","$60.14","307","AI Specialist"
41,"Arizona","$124,257","$59.74","187","AI Specialist"
42,"Indiana","$122,744","$59.01","157","AI Specialist"
43,"Ohio","$121,638","$58.48","249","AI Specialist"
44,"Hawaii","$111,833","$53.77","82","AI Specialist"
45,"North Dakota","$110,721","$53.23","63","AI Specialist"
46,"Mississippi","$117,982","$56.72","75","AI Specialist"
47,"Oklahoma","$121,341","$58.34","87","AI Specialist"
48,"Utah","$117,298","$56.39","123","AI Specialist"
49,"Alaska","$101,374","$48.74","55","AI Specialist"
50,"Idaho","$109,071","$52.44","80","AI Specialist"
51,"Arkansas","$112,785","$54.22","92","AI Specialist"
