"Rank","State","Avg. Salary","Hourly Rate","Job Count","Job_role"
1,"Connecticut","$79,907","$38.42","821","Data Analyst"
2,"New Jersey","$82,466","$39.65","1,729","Data Analyst"
3,"Maryland","$79,828","$38.38","1,685","Data Analyst"
4,"District of Columbia","$82,711","$39.76","939","Data Analyst"
5,"New York","$77,475","$37.25","3,352","Data Analyst"
6,"Virginia","$75,875","$36.48","2,234","Data Analyst"
7,"North Carolina","$73,317","$35.25","1,798","Data Analyst"
8,"Illinois","$73,071","$35.13","2,831","Data Analyst"
9,"Rhode Island","$71,417","$34.34","288","Data Analyst"
10,"New Hampshire","$72,371","$34.79","316","Data Analyst"
11,"Texas","$70,393","$33.84","4,006","Data Analyst"
12,"Pennsylvania","$69,574","$33.45","2,073","Data Analyst"
13,"Washington","$80,018","$38.47","874","Data Analyst"
14,"Massachusetts","$78,750","$37.86","1,329","Data Analyst"
15,"Georgia","$69,630","$33.48","2,027","Data Analyst"
16,"California","$80,056","$38.49","4,430","Data Analyst"
17,"Ohio","$68,379","$32.87","1,586","Data Analyst"
18,"Michigan","$70,069","$33.69","1,103","Data Analyst"
19,"Minnesota","$68,853","$33.10","1,138","Data Analyst"
20,"Oregon","$72,311","$34.76","590","Data Analyst"
21,"Wisconsin","$67,290","$32.35","879","Data Analyst"
22,"Colorado","$66,648","$32.04","1,414","Data Analyst"
23,"Arizona","$64,892","$31.20","1,349","Data Analyst"
24,"Alabama","$66,024","$31.74","680","Data Analyst"
25,"Delaware","$65,568","$31.52","290","Data Analyst"
26,"Hawaii","$64,949","$31.23","234","Data Analyst"
27,"Alaska","$63,817","$30.68","195","Data Analyst"
28,"Iowa","$64,369","$30.95","573","Data Analyst"
29,"Nevada","$63,749","$30.65","347","Data Analyst"
30,"Maine","$62,636","$30.11","223","Data Analyst"
31,"Florida","$60,592","$29.13","3,008","Data Analyst"
32,"Kansas","$60,335","$29.01","511","Data Analyst"
33,"Missouri","$63,276","$30.42","877","Data Analyst"
34,"Tennessee","$61,283","$29.46","799","Data Analyst"
35,"Wyoming","$54,850","$26.37","160","Data Analyst"
36,"Indiana","$60,624","$29.15","1,010","Data Analyst"
37,"Louisiana","$62,591","$30.09","409","Data Analyst"
38,"South Carolina","$62,983","$30.28","477","Data Analyst"
39,"West Virginia","$59,694","$28.70","213","Data Analyst"
40,"Vermont","$54,505","$26.20","185","Data Analyst"
41,"Kentucky","$57,374","$27.58","603","Data Analyst"
42,"Montana","$56,865","$27.34","211","Data Analyst"
43,"Utah","$53,407","$25.68","739","Data Analyst"
44,"Nebraska","$55,131","$26.51","370","Data Analyst"
45,"Arkansas","$53,595","$25.77","451","Data Analyst"
46,"New Mexico","$55,903","$26.88","302","Data Analyst"
47,"Idaho","$51,325","$24.68","335","Data Analyst"
48,"Mississippi","$56,006","$26.93","247","Data Analyst"
49,"South Dakota","$53,843","$25.89","163","Data Analyst"
50,"North Dakota","$47,031","$22.61","173","Data Analyst"
51,"Oklahoma","$54,964","$26.43","354","Data Analyst"
