"Rank","State","Avg. Salary","Hourly Rate","Job Count","Job_role"
1,"Virginia",153961,74,750,"AI Specialist"
2,"Rhode Island",150354,72,55,"AI Specialist"
3,"Texas",156562,75,672,"AI Specialist"
4,"New Jersey",157937,75,264,"AI Specialist"
5,"Wyoming",136608,65,43,"AI Specialist"
6,"Maryland",151035,72,396,"AI Specialist"
7,"District of Columbia",153229,73,183,"AI Specialist"
8,"Oregon",140182,67,198,"AI Specialist"
9,"Washington",142029,68,304,"AI Specialist"
10,"Alabama",139228,66,139,"AI Specialist"
11,"North Carolina",140089,67,311,"AI Specialist"
12,"Illinois",142515,68,344,"AI Specialist"
13,"Connecticut",140733,67,136,"AI Specialist"
14,"Maine",133677,64,60,"AI Specialist"
15,"Vermont",133382,64,65,"AI Specialist"
16,"Delaware",136625,65,62,"AI Specialist"
17,"California",149957,72,1022,"AI Specialist"
18,"Minnesota",138048,66,204,"AI Specialist"
19,"New York",142183,68,457,"AI Specialist"
20,"West Virginia",130973,62,59,"AI Specialist"
21,"Nevada",132858,63,90,"AI Specialist"
22,"Colorado",135934,65,251,"AI Specialist"
23,"Kentucky",133349,64,112,"AI Specialist"
24,"Pennsylvania",133734,64,341,"AI Specialist"
25,"Georgia",136404,65,270,"AI Specialist"
26,"Tennessee",132780,63,153,"AI Specialist"
27,"South Carolina",136114,65,96,"AI Specialist"
28,"New Hampshire",131184,63,71,"AI Specialist"
29,"South Dakota",122287,58,56,"AI Specialist"
30,"Kansas",130940,62,82,"AI Specialist"
31,"Missouri",129659,62,167,"AI Specialist"
32,"Montana",122141,58,65,"AI Specialist"
33,"Iowa",123384,59,105,"AI Specialist"
34,"Louisiana",128037,61,83,"AI Specialist"
35,"Michigan",125083,60,170,"AI Specialist"
36,"Nebraska",118362,56,112,"AI Specialist"
37,"New Mexico",120689,58,88,"AI Specialist"
38,"Florida",128377,61,414,"AI Specialist"
39,"Wisconsin",121654,58,181,"AI Specialist"
40,"Massachusetts",125100,60,307,"AI Specialist"
41,"Arizona",124257,59,187,"AI Specialist"
42,"Indiana",122744,59,157,"AI Specialist"
43,"Ohio",121638,58,249,"AI Specialist"
44,"Hawaii",111833,53,82,"AI Specialist"
45,"North Dakota",110721,53,63,"AI Specialist"
46,"Mississippi",117982,56,75,"AI Specialist"
47,"Oklahoma",121341,58,87,"AI Specialist"
48,"Utah",117298,56,123,"AI Specialist"
49,"Alaska",101374,48,55,"AI Specialist"
50,"Idaho",109071,52,80,"AI Specialist"
51,"Arkansas",112785,54,92,"AI Specialist"
1,"Connecticut",79907,38,821,"Data Analyst"
2,"New Jersey",82466,39,1729,"Data Analyst"
3,"Maryland",79828,38,1685,"Data Analyst"
4,"District of Columbia",82711,39,939,"Data Analyst"
5,"New York",77475,37,3352,"Data Analyst"
6,"Virginia",75875,36,2234,"Data Analyst"
7,"North Carolina",73317,35,1798,"Data Analyst"
8,"Illinois",73071,35,2831,"Data Analyst"
9,"Rhode Island",71417,34,288,"Data Analyst"
10,"New Hampshire",72371,34,316,"Data Analyst"
11,"Texas",70393,33,4006,"Data Analyst"
12,"Pennsylvania",69574,33,2073,"Data Analyst"
13,"Washington",80018,38,874,"Data Analyst"
14,"Massachusetts",78750,37,1329,"Data Analyst"
15,"Georgia",69630,33,2027,"Data Analyst"
16,"California",80056,38,4430,"Data Analyst"
17,"Ohio",68379,32,1586,"Data Analyst"
18,"Michigan",70069,33,1103,"Data Analyst"
19,"Minnesota",68853,33,1138,"Data Analyst"
20,"Oregon",72311,34,590,"Data Analyst"
21,"Wisconsin",67290,32,879,"Data Analyst"
22,"Colorado",66648,32,1414,"Data Analyst"
23,"Arizona",64892,31,1349,"Data Analyst"
24,"Alabama",66024,31,680,"Data Analyst"
25,"Delaware",65568,31,290,"Data Analyst"
26,"Hawaii",64949,31,234,"Data Analyst"
27,"Alaska",63817,30,195,"Data Analyst"
28,"Iowa",64369,30,573,"Data Analyst"
29,"Nevada",63749,30,347,"Data Analyst"
30,"Maine",62636,30,223,"Data Analyst"
31,"Florida",60592,29,3008,"Data Analyst"
32,"Kansas",60335,29,511,"Data Analyst"
33,"Missouri",63276,30,877,"Data Analyst"
34,"Tennessee",61283,29,799,"Data Analyst"
35,"Wyoming",54850,26,160,"Data Analyst"
36,"Indiana",60624,29,1010,"Data Analyst"
37,"Louisiana",62591,30,409,"Data Analyst"
38,"South Carolina",62983,30,477,"Data Analyst"
39,"West Virginia",59694,28,213,"Data Analyst"
40,"Vermont",54505,26,185,"Data Analyst"
41,"Kentucky",57374,27,603,"Data Analyst"
42,"Montana",56865,27,211,"Data Analyst"
43,"Utah",53407,25,739,"Data Analyst"
44,"Nebraska",55131,26,370,"Data Analyst"
45,"Arkansas",53595,25,451,"Data Analyst"
46,"New Mexico",55903,26,302,"Data Analyst"
47,"Idaho",51325,24,335,"Data Analyst"
48,"Mississippi",56006,26,247,"Data Analyst"
49,"South Dakota",53843,25,163,"Data Analyst"
50,"North Dakota",47031,22,173,"Data Analyst"
51,"Oklahoma",54964,26,354,"Data Analyst"
1,"California",130195,62,7451,"Data Architect"
2,"Arizona",109241,52,1232,"Data Architect"
3,"Oregon",109293,52,944,"Data Architect"
4,"New Jersey",111094,53,1999,"Data Architect"
5,"Delaware",112983,54,231,"Data Architect"
6,"Washington",109508,52,1667,"Data Architect"
7,"Pennsylvania",105752,50,2411,"Data Architect"
8,"Massachusetts",109390,52,2205,"Data Architect"
9,"Texas",102534,49,4921,"Data Architect"
10,"Nevada",106840,51,415,"Data Architect"
11,"Maryland",111158,53,1623,"Data Architect"
12,"New York",108973,52,3321,"Data Architect"
13,"Michigan",104299,50,1286,"Data Architect"
14,"Virginia",105292,50,2417,"Data Architect"
15,"Rhode Island",100993,48,284,"Data Architect"
16,"Indiana",104107,50,894,"Data Architect"
17,"North Carolina",98472,47,2162,"Data Architect"
18,"District of Columbia",104676,50,798,"Data Architect"
19,"Connecticut",101915,49,872,"Data Architect"
20,"Ohio",98856,47,1665,"Data Architect"
21,"Montana",98570,47,239,"Data Architect"
22,"Utah",96680,46,753,"Data Architect"
23,"New Hampshire",98591,47,354,"Data Architect"
24,"Illinois",97276,46,2915,"Data Architect"
25,"Louisiana",99102,47,375,"Data Architect"
26,"Georgia",97219,46,2153,"Data Architect"
27,"Idaho",96695,46,339,"Data Architect"
28,"North Dakota",92277,44,238,"Data Architect"
29,"Tennessee",96263,46,768,"Data Architect"
30,"Vermont",97204,46,143,"Data Architect"
31,"Minnesota",97481,46,1302,"Data Architect"
32,"Colorado",97246,46,1233,"Data Architect"
33,"Mississippi",96091,46,210,"Data Architect"
34,"Iowa",94725,45,507,"Data Architect"
35,"South Carolina",96506,46,503,"Data Architect"
36,"Wyoming",93878,45,96,"Data Architect"
37,"Alaska",96397,46,162,"Data Architect"
38,"Kansas",93933,45,452,"Data Architect"
39,"Maine",95697,46,210,"Data Architect"
40,"Missouri",93979,45,1053,"Data Architect"
41,"Wisconsin",93911,45,805,"Data Architect"
42,"Florida",94742,45,2605,"Data Architect"
43,"West Virginia",91310,43,207,"Data Architect"
44,"New Mexico",92392,44,320,"Data Architect"
45,"Alabama",92024,44,526,"Data Architect"
46,"Arkansas",89566,43,422,"Data Architect"
47,"Oklahoma",93268,44,344,"Data Architect"
48,"Kentucky",90553,43,542,"Data Architect"
49,"South Dakota",89042,42,172,"Data Architect"
50,"Hawaii",80274,38,187,"Data Architect"
51,"Nebraska",88416,42,388,"Data Architect"
1,"Nevada",75193,36,507,"Business Analyst"
2,"Oregon",81847,39,732,"Business Analyst"
3,"Washington",88037,42,1061,"Business Analyst"
4,"New Jersey",80764,38,1403,"Business Analyst"
5,"Ohio",71786,34,2112,"Business Analyst"
6,"California",86674,41,4550,"Business Analyst"
7,"Minnesota",72454,34,1584,"Business Analyst"
8,"New Hampshire",78640,37,214,"Business Analyst"
9,"Delaware",73928,35,261,"Business Analyst"
10,"Michigan",71692,34,1463,"Business Analyst"
11,"District of Columbia",76569,36,585,"Business Analyst"
12,"New York",77463,37,2224,"Business Analyst"
13,"Pennsylvania",73549,35,1551,"Business Analyst"
14,"Wisconsin",70198,33,1104,"Business Analyst"
15,"Virginia",72957,35,1997,"Business Analyst"
16,"North Carolina",72446,34,1501,"Business Analyst"
17,"Iowa",69896,33,652,"Business Analyst"
18,"Kentucky",68867,33,698,"Business Analyst"
19,"Rhode Island",72289,34,201,"Business Analyst"
20,"Connecticut",77066,37,463,"Business Analyst"
21,"Indiana",69432,33,1139,"Business Analyst"
22,"Maryland",76826,36,1073,"Business Analyst"
23,"Arizona",71894,34,920,"Business Analyst"
24,"Illinois",72776,34,1918,"Business Analyst"
25,"Montana",69195,33,251,"Business Analyst"
26,"South Dakota",67644,32,207,"Business Analyst"
27,"Massachusetts",72540,34,1578,"Business Analyst"
28,"Nebraska",67854,32,513,"Business Analyst"
29,"Idaho",72596,34,198,"Business Analyst"
30,"Kansas",67666,32,644,"Business Analyst"
31,"Alaska",69616,33,204,"Business Analyst"
32,"South Carolina",69251,33,682,"Business Analyst"
33,"Tennessee",66022,31,1130,"Business Analyst"
34,"Missouri",66979,32,1233,"Business Analyst"
35,"Utah",68404,32,490,"Business Analyst"
36,"West Virginia",66415,31,220,"Business Analyst"
37,"Arkansas",64416,30,540,"Business Analyst"
38,"Wyoming",67260,32,65,"Business Analyst"
39,"Colorado",68170,32,953,"Business Analyst"
40,"Texas",66686,32,3048,"Business Analyst"
41,"New Mexico",64584,31,348,"Business Analyst"
42,"Alabama",63465,30,751,"Business Analyst"
43,"North Dakota",66221,31,108,"Business Analyst"
44,"Georgia",66837,32,1372,"Business Analyst"
