"Rank","State","Avg. Salary","Hourly Rate","Job Count","Job_role"
1,"Washington","$111,669","$53.69","1,222","Data Scientist"
2,"New York","$98,821","$47.51","2,735","Data Scientist"
3,"Delaware","$92,901","$44.66","241","Data Scientist"
4,"California","$120,196","$57.79","3,874","Data Scientist"
5,"Massachusetts","$94,091","$45.24","1,684","Data Scientist"
6,"Nevada","$96,695","$46.49","278","Data Scientist"
7,"Idaho","$89,669","$43.11","249","Data Scientist"
8,"Alaska","$90,445","$43.48","148","Data Scientist"
9,"New Jersey","$90,358","$43.44","1,845","Data Scientist"
10,"New Hampshire","$87,302","$41.97","292","Data Scientist"
11,"Connecticut","$89,010","$42.79","678","Data Scientist"
12,"Arizona","$89,489","$43.02","831","Data Scientist"
13,"Rhode Island","$88,388","$42.49","180","Data Scientist"
14,"Utah","$86,604","$41.64","510","Data Scientist"
15,"Pennsylvania","$85,459","$41.09","1,804","Data Scientist"
16,"District of Columbia","$89,648","$43.10","504","Data Scientist"
17,"West Virginia","$86,375","$41.53","176","Data Scientist"
18,"Oregon","$88,457","$42.53","596","Data Scientist"
19,"Maryland","$87,406","$42.02","1,516","Data Scientist"
20,"Vermont","$85,676","$41.19","123","Data Scientist"
21,"North Carolina","$81,851","$39.35","1,788","Data Scientist"
22,"South Dakota","$80,898","$38.89","184","Data Scientist"
23,"Virginia","$85,719","$41.21","1,789","Data Scientist"
24,"Maine","$83,805","$40.29","196","Data Scientist"
25,"Ohio","$82,610","$39.72","1,164","Data Scientist"
26,"Illinois","$82,774","$39.80","2,023","Data Scientist"
27,"Texas","$84,311","$40.53","2,563","Data Scientist"
28,"Montana","$80,145","$38.53","197","Data Scientist"
29,"New Mexico","$80,314","$38.61","311","Data Scientist"
30,"Minnesota","$82,819","$39.82","947","Data Scientist"
31,"Michigan","$81,586","$39.22","872","Data Scientist"
32,"North Dakota","$77,667","$37.34","155","Data Scientist"
33,"Tennessee","$80,287","$38.60","551","Data Scientist"
34,"Wisconsin","$80,315","$38.61","679","Data Scientist"
35,"Missouri","$78,098","$37.55","868","Data Scientist"
36,"Colorado","$80,168","$38.54","877","Data Scientist"
37,"Wyoming","$76,099","$36.59","92","Data Scientist"
38,"Arkansas","$78,131","$37.56","266","Data Scientist"
39,"Georgia","$78,393","$37.69","1,275","Data Scientist"
40,"Indiana","$76,528","$36.79","712","Data Scientist"
41,"Iowa","$75,776","$36.43","427","Data Scientist"
42,"Kentucky","$75,741","$36.41","396","Data Scientist"
43,"Hawaii","$66,573","$32.01","160","Data Scientist"
44,"Kansas","$74,872","$36.00","388","Data Scientist"
45,"South Carolina","$76,879","$36.96","423","Data Scientist"
46,"Louisiana","$76,434","$36.75","315","Data Scientist"
47,"Nebraska","$74,466","$35.80","284","Data Scientist"
48,"Florida","$75,549","$36.32","1,801","Data Scientist"
49,"Alabama","$73,671","$35.42","390","Data Scientist"
50,"Mississippi","$73,859","$35.51","160","Data Scientist"
51,"Oklahoma","$73,188","$35.19","236","Data Scientist"
