"","State","Total","    18 - 24","    25 - 39","    40 - 54","    55 - 64","    65 and above","    Male","    Female","    Hispanic or Latino (may be of any race)","    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Less than high school","    High school or GED","    Some college/associate’s degree","    Bachelor’s degree or higher","    Married","    Widowed","    Divorced/separated","    Never married","    Did not report...22","    1 person in the household","    2 people in the household","    3 people in the household","    4 people in the household","    5 people in the household","    6 people in the household","    7 or more people in the household","    Children in household","    No children","    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above","    Did not report...40"
"1","Alabama",12.26528,NA,15.089184,12.745549,7.99336,9.934015,8.625492,15.563728,22.209122,10.013766,20.288255,NA,25.056427,17.28418,7.244311,6.914588,10.509413,16.899297,12.285938,16.405961,NA,6.228903,5.611012,13.312512,18.595857,12.583062,10.429897,40.502617,14.92793,10.557009,28.721395,15.87572,22.590507,3.533188,6.037452,NA,5.797789,NA,10.402309
"2","Alaska",7.8690765,18.0563453,7.4237974,6.8516955,12.0282261,2.7113724,7.6830943,8.0668777,12.0127559,5.5090421,NA,5.69099,28.1294933,11.6346636,5.7644443,2.9417387,3.9388366,31.5982004,9.1819133,12.9623938,NA,13.8742633,7.791933,5.261047,5.6295104,11.8736404,2.7719576,17.7680949,7.2746192,8.2956728,36.7804205,9.2581518,NA,8.6599516,1.5421449,0.7749621,NA,NA,7.9118556
"3","Arizona",10.431011,NA,16.489148,8.380571,12.752581,5.265063,7.377417,13.382751,13.967401,9.515333,NA,NA,34.859204,9.918063,9.997915,5.173525,5.229417,10.847192,17.503994,16.411782,NA,9.761783,7.825359,9.925028,8.162109,20.349672,12.267284,19.172591,11.178219,9.984911,40.46412,13.804062,NA,5.59191,NA,NA,NA,NA,5.691337
"4","Arkansas",9.307234,NA,7.695196,13.921065,12.167051,6.141488,6.87174,11.586927,NA,7.77664,26.688523,NA,13.991454,8.563595,12.806007,3.975626,5.070672,19.980737,21.292215,7.70515,NA,15.900639,7.253251,7.341742,14.673682,6.760719,NA,8.836919,7.266246,11.001353,23.390023,13.109972,7.99235,14.458185,6.401702,NA,NA,NA,4.059144
"5","California",9.4955877,9.269896,13.491985,11.4719438,7.0579988,3.3952354,10.3799186,8.6378936,14.3294958,4.4004381,19.8746761,6.0414419,18.5990296,16.9858939,6.2756654,3.1865765,7.2998796,10.0975056,11.5689227,12.3486037,NA,10.4078865,5.75172,6.0642069,13.6733506,9.746571,16.6477012,11.6295925,12.1080626,7.6559308,41.9048399,17.5498299,5.4332532,7.9260919,1.2786717,2.5323667,0.9814905,1.2447682,6.2195421
"6","Colorado",7.734511,12.58055,8.968985,7.902277,7.641483,4.207823,8.72466,6.738239,13.424476,5.250767,4.285945,NA,21.90447,14.050638,7.937524,1.990642,4.741531,3.856956,13.626497,13.684515,NA,10.758755,6.433574,5.188064,NA,7.161769,NA,21.510675,8.02267,7.588306,26.105123,20.640141,15.320137,6.160421,4.336357,NA,NA,NA,2.631411
"7","Connecticut",7.790136,NA,10.130661,9.495652,6.484197,6.008073,8.002258,7.590966,15.20849,5.349012,15.484065,NA,21.142314,14.009995,5.693221,2.266747,4.889399,2.576205,24.029168,6.832481,NA,13.814725,6.739579,8.973045,5.28641,7.763873,NA,NA,6.095772,8.651822,29.547363,21.269224,18.997274,12.098533,2.66596,NA,NA,NA,3.78124
"8","Delaware",9.822295,NA,20.926832,8.451476,3.240953,5.27405,8.904737,10.657946,NA,5.197989,21.492372,NA,36.806403,NA,8.674645,1.788563,2.280772,NA,14.310378,29.32921,NA,7.052308,6.102252,NA,10.316754,12.603448,NA,43.28488,12.202283,8.77203,40.183551,NA,7.799293,NA,NA,NA,NA,NA,7.316525
"9","District of Columbia",13.207251,NA,17.27549,13.106947,16.930831,NA,9.374068,16.535409,57.25123,NA,14.184986,NA,64.923609,16.809383,22.841291,NA,2.820401,NA,26.711558,19.571956,NA,7.559338,9.011028,21.028045,4.191225,NA,NA,62.741045,19.808852,10.100677,49.005496,6.267475,25.958324,NA,NA,NA,NA,NA,17.47323
"10","Florida",11.941232,6.578331,20.779833,14.128451,10.339995,4.534704,10.463235,13.323115,21.451649,6.933043,16.273072,NA,34.708702,11.587732,13.911915,3.659347,8.060369,14.357664,13.775928,17.885376,13.291612,13.207392,5.769061,14.858282,7.328126,13.521453,NA,44.388399,20.360417,7.213461,30.758669,18.863155,16.039838,11.80991,NA,1.410678,NA,NA,8.800055
"11","Georgia",12.513111,7.884066,17.136418,13.140653,12.839472,6.720296,10.934426,13.943338,12.169691,8.036361,20.371996,NA,NA,16.863219,16.699962,2.733304,7.788753,6.569373,25.673401,14.895161,NA,6.441361,9.649948,9.31743,NA,NA,24.059353,31.50233,16.163013,10.128649,24.24078,23.607396,28.132983,6.418689,4.131954,NA,NA,NA,11.071871
"12","Hawaii",7.816304,NA,15.257935,5.980223,11.581145,NA,NA,7.713871,3.700612,NA,NA,10.614522,NA,NA,8.817971,NA,8.641572,NA,8.051736,6.071248,NA,6.789388,2.964879,NA,NA,NA,NA,43.618499,14.493287,2.987676,17.486561,2.603087,NA,NA,10.972953,NA,NA,NA,NA
"13","Idaho",9.627755,16.229412,13.731157,9.242596,7.757953,3.59766,7.234706,12.010704,30.748686,6.796383,NA,15.844756,12.658407,11.578678,11.688852,3.646665,6.909169,9.481752,10.757609,17.18949,NA,9.055028,6.931016,7.01478,11.064008,15.323265,NA,17.001802,8.889247,10.147157,15.812861,25.29958,17.16658,6.175824,2.782709,NA,NA,NA,9.333497
"14","Illinois",8.8043392,10.5217128,11.0012737,12.2830837,5.6514011,3.2632307,7.9185819,9.6452704,14.0191175,5.9508157,17.3759718,NA,NA,13.4443813,10.6155869,3.1331842,5.556456,5.9930317,15.1046548,13.1099791,NA,8.3960527,6.9468351,8.2667648,10.2943867,12.094475,13.6698588,NA,8.6477554,8.8935938,24.690666,18.498767,8.4175603,9.3938224,10.4370444,0.9670402,NA,NA,5.2213432
"15","Indiana",8.093616,9.094007,3.769743,13.989939,12.676243,NA,7.968223,8.213532,24.591673,7.293676,NA,NA,NA,11.829169,4.180082,2.829988,6.570481,NA,15.048823,8.745153,NA,14.059696,4.930629,4.947585,7.017938,17.199962,NA,NA,11.277432,5.965804,26.088222,14.675162,19.581585,8.482636,1.694035,NA,NA,NA,3.191696
"16","Iowa",6.975104,NA,7.8282553,9.372222,9.1630992,0.9648685,6.373894,7.5712304,NA,7.4489639,10.4684706,NA,13.4453696,6.879337,10.102069,2.1665932,3.1330191,2.4893808,10.976889,15.5751918,NA,7.9446211,6.0776106,NA,8.8660279,10.328373,NA,NA,7.1122343,6.9005164,23.9330567,8.278398,NA,NA,NA,NA,NA,NA,8.2965808
"17","Kansas",9.1234491,17.7392208,10.047304,8.7968843,9.3516647,4.755535,8.984034,9.2598737,15.1900361,7.6988625,24.0824048,NA,33.2601231,12.0996518,8.7206677,0.8933801,3.867221,16.1670894,14.512919,17.8557839,NA,7.7714542,6.4674753,12.937128,4.2015894,13.7658669,16.5606399,18.3964655,9.887263,8.6194912,41.6335035,19.5805096,9.2641658,NA,NA,NA,NA,NA,1.3513166
"18","Kentucky",10.362413,NA,12.790256,11.440162,15.594524,2.897485,8.251495,12.359244,22.425404,9.461744,14.937741,NA,19.405739,11.010661,13.650652,3.548094,8.332346,13.862831,13.357746,14.024597,NA,18.431904,5.526774,9.08848,16.161387,8.254604,NA,25.567105,13.243098,8.59802,24.359202,19.735963,19.607389,4.687655,1.504392,NA,NA,NA,6.055087
"19","Louisiana",14.63479,29.512836,20.390086,11.713704,11.814963,9.210745,13.69442,15.487848,3.895105,13.155223,18.934076,NA,14.441842,25.066677,11.256733,2.307616,7.900843,NA,18.785444,28.440935,NA,11.710482,10.175355,17.822397,12.59594,14.470169,37.912626,NA,15.954905,13.845322,46.710264,6.866124,28.293145,2.276851,NA,NA,NA,NA,7.699001
"20","Maine",7.602203,19.757187,14.024526,5.45207,3.97465,NA,7.208739,7.976514,NA,6.701161,64.687976,NA,17.197351,NA,7.026926,1.434905,4.347888,16.387349,15.346776,6.337295,NA,12.505541,2.652038,NA,3.922071,10.176679,NA,NA,13.552903,5.244742,27.816715,7.35868,5.632656,NA,NA,NA,NA,NA,3.592885
"21","Maryland",7.381149,NA,9.468944,12.056508,2.253352,4.096104,5.873671,8.754908,6.16752,3.288643,16.434065,2.6629,NA,12.100848,6.145661,2.093798,3.628239,10.22084,14.238907,10.471391,NA,19.155287,5.438879,9.37596,2.565535,8.326422,5.180589,NA,5.598603,8.427394,14.762608,16.758304,21.17523,5.628437,NA,NA,NA,NA,9.478428
"22","Massachusetts",7.145174,NA,6.332186,11.863373,7.124181,2.68109,4.472431,9.637247,16.541193,5.108931,15.537952,NA,14.013659,10.851644,9.052977,2.559375,3.487869,17.853264,16.940051,7.623996,NA,8.178222,5.646638,7.217308,NA,5.138343,10.775429,30.46899,9.952852,5.65727,26.701148,19.529862,NA,NA,2.282711,NA,NA,NA,5.119008
"23","Michigan",9.323512,NA,11.109556,11.13348,12.318262,6.593017,7.378407,11.181144,11.660963,7.346073,17.219125,1.28883,NA,10.338305,11.925331,4.464052,7.107006,7.023024,19.431154,8.938991,NA,8.972373,6.65179,9.465068,6.653282,10.773477,17.037537,26.077271,11.789589,7.950949,31.892456,16.412329,12.328406,5.305565,1.282475,2.31384,NA,NA,7.727833
"24","Minnesota",6.33671,NA,8.349405,9.118383,5.276978,1.320068,6.355078,6.318574,34.776892,4.644243,12.855025,NA,NA,11.780771,6.88722,2.154774,3.610253,14.690203,9.932712,10.377276,NA,8.436203,NA,7.610001,8.116107,12.621671,NA,NA,6.532707,6.230836,18.516195,NA,14.039699,9.467559,2.680704,NA,NA,NA,5.495146
